"instance_file","model","a","b","c","d","residuals"
"ts0r0b/symmetric/att48-1","EPMP","-0.354126755340773","125.360368837034","-1.52048341505252","7.61477330392343","0.0104880511426111"
"ts0r0b/symmetric/att48-10","EPMP","-0.327937691481735","117.840609710199","-1.52270481661759","7.57021417336405","0.0133481925709987"
"ts0r0b/symmetric/att48-11","EPMP","-0.498883335600173","116.161083929244","-1.43090259246189","8.41795976413822","0.015244909251404"
"ts0r0b/symmetric/att48-12","EPMP","-0.365057155635669","116.911930748965","-1.50513260264349","7.92459540706378","0.00492656566513647"
"ts0r0b/symmetric/att48-13","EPMP","0.0293153504946266","53.176902862991","-7.49026412541912","50.0602218229663","0.832713147808591"
"ts0r0b/symmetric/att48-14","EPMP","-0.305032482275986","105.468573579225","-1.52438668471399","7.5093287276234","0.00912000712154378"
"ts0r0b/symmetric/att48-15","EPMP","-0.263894880817112","104.407226194957","-1.48076326556457","8.04858172287924","0.00650469546361978"
"ts0r0b/symmetric/att48-16","EPMP","-0.303791779425688","121.846066992849","-1.5693104708328","7.11710498685826","0.00469882393437052"
"ts0r0b/symmetric/att48-17","EPMP","-0.337705693485579","106.081106511103","-1.4962089903899","7.57782045778273","0.0137017267308512"
"ts0r0b/symmetric/att48-18","EPMP","0.158025947938534","0.14951158143876","-2.61654823753531","549.564612297775","0.676744412803744"
"ts0r0b/symmetric/att48-19","EPMP","-0.367521893733547","123.802220549492","-1.53668005326338","7.30935372118702","0.00498704427503479"
"ts0r0b/symmetric/att48-2","EPMP","-0.492579649361612","103.738238614979","-1.39315482555575","9.30976310183585","0.00653362674609749"
"ts0r0b/symmetric/att48-20","EPMP","-0.336869921163786","111.777380504328","-1.51216235287421","7.5790185309316","0.00522808440627358"
"ts0r0b/symmetric/att48-3","EPMP","-0.286594656241395","115.082800150546","-1.56493398498837","7.11773462620615","0.0131173193640301"
"ts0r0b/symmetric/att48-4","EPMP","-0.360442490505615","109.434512608205","-1.48618763061123","7.98492238710437","0.0103942744871647"
"ts0r0b/symmetric/att48-5","EPMP","-0.409948934959811","115.969138125706","-1.4893031119119","7.97170447265992","0.0109806746488371"
"ts0r0b/symmetric/att48-6","EPMP","-0.339352352654653","159.43949633912","-1.5633821036163","9.3241175599706","0.0021289066159759"
"ts0r0b/symmetric/att48-7","EPMP","-0.319547917753104","105.366955212646","-1.517334239269","7.47896995851941","0.0104949063896934"
"ts0r0b/symmetric/att48-8","EPMP","-0.302654997611573","103.201919458035","-1.52242319487745","7.63006639084753","0.00549994550414154"
"ts0r0b/symmetric/att48-9","EPMP","-0.262107810529473","112.813323296951","-1.59583215547966","6.89675025181663","0.00538422358817342"
"ts0r0b/symmetric/bayg29-1","EPMP","-0.228352354226398","43.3229813664596","-1.57244263238647","6.77049972734292","0.00252882303491682"
"ts0r0b/symmetric/bayg29-10","EPMP","-0.136186234391087","55.8819875776398","-1.74661295448193","5.43436795088324","0.00541156258020942"
"ts0r0b/symmetric/bayg29-11","EPMP","0.016371403293522","16.3159232836454","-6.93923286222752","20.0596298037606","0.390629950713607"
"ts0r0b/symmetric/bayg29-12","EPMP","-0.413381604733716","52.7142857142857","-1.50426974579098","7.06994756772496","0.00500321771735783"
"ts0r0b/symmetric/bayg29-13","EPMP","-0.140128087286971","66.1304347826087","-1.85853564047953","4.78273412375178","0.00549440905420812"
"ts0r0b/symmetric/bayg29-14","EPMP","-0.128594749102226","45.3167701863354","-1.82785854233109","5.02733201971737","0.00200461846324715"
"ts0r0b/symmetric/bayg29-15","EPMP","-0.142772550001092","60.5217391304348","-1.80124655700567","5.09954794646822","0.00483906480293001"
"ts0r0b/symmetric/bayg29-16","EPMP","-0.175846171985172","58.8260869565217","-1.77571959668649","5.18238797838433","0.00958701559546115"
"ts0r0b/symmetric/bayg29-17","EPMP","-0.261794652029727","61.472049689441","-1.63431802947745","6.23822630614122","0.00281494830037548"
"ts0r0b/symmetric/bayg29-18","EPMP","-0.263043963971385","65.832298136646","-1.68575322669399","5.88407396957271","0.00241409014623138"
"ts0r0b/symmetric/bayg29-19","EPMP","-0.279286857877127","67.1925465838509","-1.73945122539709","5.45615050966149","0.00259587327688535"
