"instance_file","model","a","b","c","d","residuals"
"ts0r0b/symmetric/att48-1","expLinearModelnegative","46.9764370340801","-44.0145938214474","0.0180063832737491","-0.848699402016303","0.0646259710236783"
"ts0r0b/symmetric/att48-10","expLinearModelnegative","64.4650816491506","-61.4499188846611","0.0134477581381057","-0.763727233553338","0.0548013852788954"
"ts0r0b/symmetric/att48-11","expLinearModelnegative","80.9078206141492","-77.6807712189763","0.0114142004460859","-0.681358792923132","0.0624631575072077"
"ts0r0b/symmetric/att48-12","expLinearModelnegative","50.6153961686993","-47.6999783165051","0.0166541789556801","-0.787335520805366","0.0385094200562195"
"ts0r0b/symmetric/att48-13","expLinearModelnegative","28.0953193452433","-25.3418753437957","0.0291826199153629","-0.806898190386211","0.0664706217512172"
"ts0r0b/symmetric/att48-14","expLinearModelnegative","36.7987589701079","-34.3630830621013","0.0189723856365995","-0.866214495811905","0.0623317094998069"
"ts0r0b/symmetric/att48-15","expLinearModelnegative","51.4561681098041","-48.909130486957","0.0134012015713794","-0.836369814446413","0.0523567205588311"
"ts0r0b/symmetric/att48-16","expLinearModelnegative","59.4408244566535","-56.6021104504119","0.0137775989132252","-0.847454407119704","0.0506218637524723"
"ts0r0b/symmetric/att48-17","expLinearModelnegative","50.8986482135245","-48.2099510060115","0.0150692485298342","-0.795049728400541","0.0686534864039615"
"ts0r0b/symmetric/att48-18","expLinearModelnegative","54.4726839021742","-51.6317221698982","0.0156204200504367","-0.673482360651214","0.036179050632276"
"ts0r0b/symmetric/att48-19","expLinearModelnegative","122.577131354026","-119.510065117453","0.00716752677227751","-0.794661311150328","0.0513837917810862"
"ts0r0b/symmetric/att48-2","expLinearModelnegative","37.8427655639551","-34.9077621064684","0.0225764640637579","-0.632410836441631","0.0315439571016578"
"ts0r0b/symmetric/att48-20","expLinearModelnegative","111.018676482734","-108.166413034669","0.00727187881551002","-0.772012121547779","0.0459236348411149"
"ts0r0b/symmetric/att48-3","expLinearModelnegative","47.3545883505341","-44.764855070721","0.0156976338938475","-0.877503849199337","0.0708681169854806"
